BlockNumber,StreetName,helper,State,City,Street_Address,Full_St_Address
2100,"MICHIE DR, 35B",keep,Virginia,Charlottesville,2100 MICHIE DR,"2100 MICHIE DR, CHARLOTTESVILLE, VA"
600,10 1/2 ST NW,keep,Virginia,Charlottesville,600 10 1/2 ST NW,"600 10 1/2 ST NW, CHARLOTTESVILLE, VA"
200,2ND ST NW,keep,Virginia,Charlottesville,200 2ND ST NW,"200 2ND ST NW, CHARLOTTESVILLE, VA"
1100,E MARKET ST,keep,Virginia,Charlottesville,1100 E MARKET ST,"1100 E MARKET ST, CHARLOTTESVILLE, VA"
500,W MAIN ST,keep,Virginia,Charlottesville,500 W MAIN ST,"500 W MAIN ST, CHARLOTTESVILLE, VA"
700,"MONTICELLO AVE, C",keep,Virginia,Charlottesville,700 MONTICELLO AVE,"700 MONTICELLO AVE, CHARLOTTESVILLE, VA"
1200,AVON ST,keep,Virginia,Charlottesville,1200 AVON ST,"1200 AVON ST, CHARLOTTESVILLE, VA"
400,E MARKET ST,keep,Virginia,Charlottesville,400 E MARKET ST,"400 E MARKET ST, CHARLOTTESVILLE, VA"
1200,EMMET ST N,keep,Virginia,Charlottesville,1200 EMMET ST N,"1200 EMMET ST N, CHARLOTTESVILLE, VA"
900,E MARKET ST,keep,Virginia,Charlottesville,900 E MARKET ST,"900 E MARKET ST, CHARLOTTESVILLE, VA"
300,CHESTNUT ST,keep,Virginia,Charlottesville,300 CHESTNUT ST,"300 CHESTNUT ST, CHARLOTTESVILLE, VA"
200,GARRETT ST,keep,Virginia,Charlottesville,200 GARRETT ST,"200 GARRETT ST, CHARLOTTESVILLE, VA"
200,W MAIN ST,keep,Virginia,Charlottesville,200 W MAIN ST,"200 W MAIN ST, CHARLOTTESVILLE, VA"
700,E WATER ST,keep,Virginia,Charlottesville,700 E WATER ST,"700 E WATER ST, CHARLOTTESVILLE, VA"
900,PRESTON AVE,keep,Virginia,Charlottesville,900 PRESTON AVE,"900 PRESTON AVE, CHARLOTTESVILLE, VA"
300,250 BYPASS,keep,Virginia,Charlottesville,300 250 BYPASS,"300 250 BYPASS, CHARLOTTESVILLE, VA"
100,10TH ST NW,keep,Virginia,Charlottesville,100 10TH ST NW,"100 10TH ST NW, CHARLOTTESVILLE, VA"
1100,KENSINGTON AVE,keep,Virginia,Charlottesville,1100 KENSINGTON AVE,"1100 KENSINGTON AVE, CHARLOTTESVILLE, VA"
1600,YORKTOWN DR,keep,Virginia,Charlottesville,1600 YORKTOWN DR,"1600 YORKTOWN DR, CHARLOTTESVILLE, VA"
100,"LANKFORD AVE, 5",keep,Virginia,Charlottesville,100 LANKFORD AVE,"100 LANKFORD AVE, CHARLOTTESVILLE, VA"
300,"UNIVERSITY CIR, 202",keep,Virginia,Charlottesville,300 UNIVERSITY CIR,"300 UNIVERSITY CIR, CHARLOTTESVILLE, VA"
2100,ANGUS RD,keep,Virginia,Charlottesville,2100 ANGUS RD,"2100 ANGUS RD, CHARLOTTESVILLE, VA"
800,RAINIER RD,keep,Virginia,Charlottesville,800 RAINIER RD,"800 RAINIER RD, CHARLOTTESVILLE, VA"
1000,WERTLAND ST,keep,Virginia,Charlottesville,1000 WERTLAND ST,"1000 WERTLAND ST, CHARLOTTESVILLE, VA"
300,PRESTON AVE,keep,Virginia,Charlottesville,300 PRESTON AVE,"300 PRESTON AVE, CHARLOTTESVILLE, VA"
300,OLD LYNCHBURG RD,keep,Virginia,Charlottesville,300 OLD LYNCHBURG RD,"300 OLD LYNCHBURG RD, CHARLOTTESVILLE, VA"
100,W MARKET ST,keep,Virginia,Charlottesville,100 W MARKET ST,"100 W MARKET ST, CHARLOTTESVILLE, VA"
1900,"CEDAR HILL RD, B",keep,Virginia,Charlottesville,1900 CEDAR HILL RD,"1900 CEDAR HILL RD, CHARLOTTESVILLE, VA"
300,15TH ST NW,keep,Virginia,Charlottesville,300 15TH ST NW,"300 15TH ST NW, CHARLOTTESVILLE, VA"
500,"S 1ST ST, 213",keep,Virginia,Charlottesville,500 S 1ST ST,"500 S 1ST ST, CHARLOTTESVILLE, VA"
,<UNKNOWN>,drop,Virginia,Charlottesville,No Address Listed,"No Address Listed, CHARLOTTESVILLE, VA"
1300,CARLTON AVE,keep,Virginia,Charlottesville,1300 CARLTON AVE,"1300 CARLTON AVE, CHARLOTTESVILLE, VA"
600,"MASON ST, A1",keep,Virginia,Charlottesville,600 MASON ST,"600 MASON ST, CHARLOTTESVILLE, VA"
2000,MEADOWBROOK RD,keep,Virginia,Charlottesville,2000 MEADOWBROOK RD,"2000 MEADOWBROOK RD, CHARLOTTESVILLE, VA"
,RAMP @ EMMET ST,intersection,Virginia,Charlottesville,RAMP @ EMMET ST,"RAMP @ EMMET ST, CHARLOTTESVILLE, VA"
700,ORANGEDALE AVE,keep,Virginia,Charlottesville,700 ORANGEDALE AVE,"700 ORANGEDALE AVE, CHARLOTTESVILLE, VA"
300,RIVERSIDE AVE,keep,Virginia,Charlottesville,300 RIVERSIDE AVE,"300 RIVERSIDE AVE, CHARLOTTESVILLE, VA"
1000,PRESTON AVE,keep,Virginia,Charlottesville,1000 PRESTON AVE,"1000 PRESTON AVE, CHARLOTTESVILLE, VA"
1000,"E MARKET ST, 1-6",keep,Virginia,Charlottesville,1000 E MARKET ST,"1000 E MARKET ST, CHARLOTTESVILLE, VA"
400,QUARRY RD,keep,Virginia,Charlottesville,400 QUARRY RD,"400 QUARRY RD, CHARLOTTESVILLE, VA"
2100,"ARLINGTON BLVD, 509",keep,Virginia,Charlottesville,2100 ARLINGTON BLVD,"2100 ARLINGTON BLVD, CHARLOTTESVILLE, VA"
1000,"WERTLAND ST, 404",keep,Virginia,Charlottesville,1000 WERTLAND ST,"1000 WERTLAND ST, CHARLOTTESVILLE, VA"
1200,CARLTON AVE,keep,Virginia,Charlottesville,1200 CARLTON AVE,"1200 CARLTON AVE, CHARLOTTESVILLE, VA"
,W MARKET ST / 2ND ST NW,drop,Virginia,Charlottesville,W MARKET ST / 2ND ST NW,"W MARKET ST / 2ND ST NW, CHARLOTTESVILLE, VA"
800,MONTROSE AVE,keep,Virginia,Charlottesville,800 MONTROSE AVE,"800 MONTROSE AVE, CHARLOTTESVILLE, VA"
