BlockNumber,StreetName,helper,State,City,Street_Address,Full_St_Address
nan,PEARTREE LN / LOCUST AVE,drop,Virginia,Charlottesville,PEARTREE LN / LOCUST AVE,"PEARTREE LN / LOCUST AVE, CHARLOTTESVILLE, VA"
500.0,"BAINBRIDGE ST, 103",keep,Virginia,Charlottesville,500 BAINBRIDGE ST,"500 BAINBRIDGE ST, CHARLOTTESVILLE, VA"
200.0,"CARLTON RD, 8",keep,Virginia,Charlottesville,200 CARLTON RD,"200 CARLTON RD, CHARLOTTESVILLE, VA"
1700.0,"ALLIED LN, B",keep,Virginia,Charlottesville,1700 ALLIED LN,"1700 ALLIED LN, CHARLOTTESVILLE, VA"
2100.0,"MICHIE DR, 94A",keep,Virginia,Charlottesville,2100 MICHIE DR,"2100 MICHIE DR, CHARLOTTESVILLE, VA"
1400.0,"MONTICELLO RD, 221",keep,Virginia,Charlottesville,1400 MONTICELLO RD,"1400 MONTICELLO RD, CHARLOTTESVILLE, VA"
1100.0,"GORDON AVE, A",keep,Virginia,Charlottesville,1100 GORDON AVE,"1100 GORDON AVE, CHARLOTTESVILLE, VA"
1000.0,ASHBY PL,keep,Virginia,Charlottesville,1000 ASHBY PL,"1000 ASHBY PL, CHARLOTTESVILLE, VA"
1000.0,"WERTLAND ST, 111",keep,Virginia,Charlottesville,1000 WERTLAND ST,"1000 WERTLAND ST, CHARLOTTESVILLE, VA"
1200.0,"CEDARS CT, 120A",keep,Virginia,Charlottesville,1200 CEDARS CT,"1200 CEDARS CT, CHARLOTTESVILLE, VA"
2000.0,"IVY RD, B-03",keep,Virginia,Charlottesville,2000 IVY RD,"2000 IVY RD, CHARLOTTESVILLE, VA"
nan,3RD ST NE / E MAIN ST,drop,Virginia,Charlottesville,3RD ST NE / E MAIN ST,"3RD ST NE / E MAIN ST, CHARLOTTESVILLE, VA"
1200.0,"WERTLAND ST, 10",keep,Virginia,Charlottesville,1200 WERTLAND ST,"1200 WERTLAND ST, CHARLOTTESVILLE, VA"
100.0,8TH ST NW,keep,Virginia,Charlottesville,100 8TH ST NW,"100 8TH ST NW, CHARLOTTESVILLE, VA"
300.0,"15TH ST NW, 4038",keep,Virginia,Charlottesville,300 15TH ST NW,"300 15TH ST NW, CHARLOTTESVILLE, VA"
1000.0,"WERTLAND ST, 2",keep,Virginia,Charlottesville,1000 WERTLAND ST,"1000 WERTLAND ST, CHARLOTTESVILLE, VA"
nan,CHERRY AVE,drop,Virginia,Charlottesville,CHERRY AVE,"CHERRY AVE, CHARLOTTESVILLE, VA"
1600.0,"EMMET ST N, 152",keep,Virginia,Charlottesville,1600 EMMET ST N,"1600 EMMET ST N, CHARLOTTESVILLE, VA"
1100.0,"FOREST HILLS AVE, C",keep,Virginia,Charlottesville,1100 FOREST HILLS AVE,"1100 FOREST HILLS AVE, CHARLOTTESVILLE, VA"
nan,BAINBRIDGE ST / MONTICELLO RD,drop,Virginia,Charlottesville,BAINBRIDGE ST / MONTICELLO RD,"BAINBRIDGE ST / MONTICELLO RD, CHARLOTTESVILLE, VA"
100.0,MOBILE LN,keep,Virginia,Charlottesville,100 MOBILE LN,"100 MOBILE LN, CHARLOTTESVILLE, VA"
300.0,PALATINE AVE,keep,Virginia,Charlottesville,300 PALATINE AVE,"300 PALATINE AVE, CHARLOTTESVILLE, VA"
1900.0,"EMMET ST N, 430",keep,Virginia,Charlottesville,1900 EMMET ST N,"1900 EMMET ST N, CHARLOTTESVILLE, VA"
700.0,CYNTHIANNA AVE,keep,Virginia,Charlottesville,700 CYNTHIANNA AVE,"700 CYNTHIANNA AVE, CHARLOTTESVILLE, VA"
800.0,"ROSE HILL DR, 7",keep,Virginia,Charlottesville,800 ROSE HILL DR,"800 ROSE HILL DR, CHARLOTTESVILLE, VA"
1900.0,"EMMET ST N, 429",keep,Virginia,Charlottesville,1900 EMMET ST N,"1900 EMMET ST N, CHARLOTTESVILLE, VA"
500.0,"15TH ST NW, 1",keep,Virginia,Charlottesville,500 15TH ST NW,"500 15TH ST NW, CHARLOTTESVILLE, VA"
700.0,"MADISON AVE, 2",keep,Virginia,Charlottesville,700 MADISON AVE,"700 MADISON AVE, CHARLOTTESVILLE, VA"
nan,OLD FIFTH CIR / HARRIS RD,drop,Virginia,Charlottesville,OLD FIFTH CIR / HARRIS RD,"OLD FIFTH CIR / HARRIS RD, CHARLOTTESVILLE, VA"
nan,9TH ST SE @ AVON ST,intersection,Virginia,Charlottesville,9TH ST SE @ AVON ST,"9TH ST SE @ AVON ST, CHARLOTTESVILLE, VA"
1000.0,POPLAR ST,keep,Virginia,Charlottesville,1000 POPLAR ST,"1000 POPLAR ST, CHARLOTTESVILLE, VA"
nan,AVON ST / BELMONT COTTAGE LN,drop,Virginia,Charlottesville,AVON ST / BELMONT COTTAGE LN,"AVON ST / BELMONT COTTAGE LN, CHARLOTTESVILLE, VA"
1300.0,"WERTLAND ST, 101",keep,Virginia,Charlottesville,1300 WERTLAND ST,"1300 WERTLAND ST, CHARLOTTESVILLE, VA"
2100.0,"MICHIE DR, 21B",keep,Virginia,Charlottesville,2100 MICHIE DR,"2100 MICHIE DR, CHARLOTTESVILLE, VA"
100.0,"HARMON ST, C",keep,Virginia,Charlottesville,100 HARMON ST,"100 HARMON ST, CHARLOTTESVILLE, VA"
400.0,"MOSELEY DR, B",keep,Virginia,Charlottesville,400 MOSELEY DR,"400 MOSELEY DR, CHARLOTTESVILLE, VA"
800.0,CALHOUN ST,keep,Virginia,Charlottesville,800 CALHOUN ST,"800 CALHOUN ST, CHARLOTTESVILLE, VA"
100.0,"STADIUM RD, 1",keep,Virginia,Charlottesville,100 STADIUM RD,"100 STADIUM RD, CHARLOTTESVILLE, VA"
600.0,ST CHARLES AVE,keep,Virginia,Charlottesville,600 ST CHARLES AVE,"600 ST CHARLES AVE, CHARLOTTESVILLE, VA"
nan,PROSPECT AVE / BAILEY RD,drop,Virginia,Charlottesville,PROSPECT AVE / BAILEY RD,"PROSPECT AVE / BAILEY RD, CHARLOTTESVILLE, VA"
1900.0,"STADIUM RD, B",keep,Virginia,Charlottesville,1900 STADIUM RD,"1900 STADIUM RD, CHARLOTTESVILLE, VA"
400.0,9TH ST SW,keep,Virginia,Charlottesville,400 9TH ST SW,"400 9TH ST SW, CHARLOTTESVILLE, VA"
1500.0,"CARLTON AVE, 30",keep,Virginia,Charlottesville,1500 CARLTON AVE,"1500 CARLTON AVE, CHARLOTTESVILLE, VA"
4000.0,"CITY WALK WAY, 143",keep,Virginia,Charlottesville,4000 CITY WALK WAY,"4000 CITY WALK WAY, CHARLOTTESVILLE, VA"
700.0,"HARRIS ST, 104B",keep,Virginia,Charlottesville,700 HARRIS ST,"700 HARRIS ST, CHARLOTTESVILLE, VA"
700.0,"WALKER SQ, 2B",keep,Virginia,Charlottesville,700 WALKER SQ,"700 WALKER SQ, CHARLOTTESVILLE, VA"
1000.0,"WERTLAND ST, 7",keep,Virginia,Charlottesville,1000 WERTLAND ST,"1000 WERTLAND ST, CHARLOTTESVILLE, VA"
1600.0,"JEFFERSON PARK AVE, 312",keep,Virginia,Charlottesville,1600 JEFFERSON PARK AVE,"1600 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
2100.0,"IVY RD, 1",keep,Virginia,Charlottesville,2100 IVY RD,"2100 IVY RD, CHARLOTTESVILLE, VA"
1400.0,"GRADY AVE, C5",keep,Virginia,Charlottesville,1400 GRADY AVE,"1400 GRADY AVE, CHARLOTTESVILLE, VA"
1800.0,"JEFFERSON PARK AVE, 402",keep,Virginia,Charlottesville,1800 JEFFERSON PARK AVE,"1800 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
500.0,"HARRIS RD, 105",keep,Virginia,Charlottesville,500 HARRIS RD,"500 HARRIS RD, CHARLOTTESVILLE, VA"
100.0,"CARROLLTON TER, D",keep,Virginia,Charlottesville,100 CARROLLTON TER,"100 CARROLLTON TER, CHARLOTTESVILLE, VA"
100.0,PORTER AVE,keep,Virginia,Charlottesville,100 PORTER AVE,"100 PORTER AVE, CHARLOTTESVILLE, VA"
nan,DICE ST @ 5TH ST,intersection,Virginia,Charlottesville,DICE ST @ 5TH ST,"DICE ST @ 5TH ST, CHARLOTTESVILLE, VA"
1400.0,"GRADY AVE, 6",keep,Virginia,Charlottesville,1400 GRADY AVE,"1400 GRADY AVE, CHARLOTTESVILLE, VA"
4000.0,"CITY WALK WAY, 213",keep,Virginia,Charlottesville,4000 CITY WALK WAY,"4000 CITY WALK WAY, CHARLOTTESVILLE, VA"
1300.0,"CARLTON AVE, 305",keep,Virginia,Charlottesville,1300 CARLTON AVE,"1300 CARLTON AVE, CHARLOTTESVILLE, VA"
100.0,JEFFERSON PARK AVE,keep,Virginia,Charlottesville,100 JEFFERSON PARK AVE,"100 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
1200.0,"WERTLAND ST, 11",keep,Virginia,Charlottesville,1200 WERTLAND ST,"1200 WERTLAND ST, CHARLOTTESVILLE, VA"
300.0,"13TH ST NW, 15",keep,Virginia,Charlottesville,300 13TH ST NW,"300 13TH ST NW, CHARLOTTESVILLE, VA"
100.0,"MONTE VISTA AVE, B",keep,Virginia,Charlottesville,100 MONTE VISTA AVE,"100 MONTE VISTA AVE, CHARLOTTESVILLE, VA"
2100.0,"MICHIE DR, 111",keep,Virginia,Charlottesville,2100 MICHIE DR,"2100 MICHIE DR, CHARLOTTESVILLE, VA"
600.0,"9TH ST SW, A",keep,Virginia,Charlottesville,600 9TH ST SW,"600 9TH ST SW, CHARLOTTESVILLE, VA"
1100.0,"5TH ST SW, 332",keep,Virginia,Charlottesville,1100 5TH ST SW,"1100 5TH ST SW, CHARLOTTESVILLE, VA"
800.0,"CABELL AVE, K",keep,Virginia,Charlottesville,800 CABELL AVE,"800 CABELL AVE, CHARLOTTESVILLE, VA"
300.0,"AVON ST, A",keep,Virginia,Charlottesville,300 AVON ST,"300 AVON ST, CHARLOTTESVILLE, VA"
400.0,"4TH ST NW, 111",keep,Virginia,Charlottesville,400 4TH ST NW,"400 4TH ST NW, CHARLOTTESVILLE, VA"
1400.0,"VINE ST, A4",keep,Virginia,Charlottesville,1400 VINE ST,"1400 VINE ST, CHARLOTTESVILLE, VA"
