,address,match_address
287,"200 Douglas Ave, Charlottesville, Virginia, 22902","200 DOUGLAS AVE, CHARLOTTESVILLE, VA"
288,"Lankford Ave, Charlottesville, Virginia, 22902","LANKFORD AVE, CHARLOTTESVILLE, VA"
289,"300 Berring St, Charlottesville, Virginia, 22902","300 BERRING ST, CHARLOTTESVILLE, VA"
290,"Exit 121, Charlottesville, Virginia, 22902","EXIT 121, CHARLOTTESVILLE, VA"
291,"1400 Rugby Ave, Charlottesville, Virginia, 22903","1400 RUGBY AVE, CHARLOTTESVILLE, VA"
292,"300 6th St SW, Charlottesville, Virginia, 22903","300 6TH ST SW, CHARLOTTESVILLE, VA"
293,"600 Preston Ave, Charlottesville, Virginia, 22903","600 PRESTON AVE, CHARLOTTESVILLE, VA"
294,"8th St NW & Preston Ave, Charlottesville, Virginia, 22903","8TH ST NW & PRESTON AVE, CHARLOTTESVILLE, VA"
295,"1200 Lee St, Charlottesville, Virginia, 22908","1200 LEE ST, CHARLOTTESVILLE, VA"
296,"1200 Wertland St, Charlottesville, Virginia, 22903","1200 WERTLAND ST, CHARLOTTESVILLE, VA"
297,"100 Madison Ln, Charlottesville, Virginia, 22903","100 MADISON LN, CHARLOTTESVILLE, VA"
298,"100 5th St SE, Charlottesville, Virginia, 22902","100 5TH ST SE, CHARLOTTESVILLE, VA"
300,"700 1st St S, Charlottesville, Virginia, 22902","700 1ST ST S, CHARLOTTESVILLE, VA"
301,"200 4th St NW, Charlottesville, Virginia, 22903","200 4TH ST NW, CHARLOTTESVILLE, VA"
302,"1100 Gordon Ave, Charlottesville, Virginia, 22903","1100 GORDON AVE, CHARLOTTESVILLE, VA"
304,"1700 Allied St, Charlottesville, Virginia, 22903","1700 ALLIED ST, CHARLOTTESVILLE, VA"
306,"700 Charlton Ave, Charlottesville, Virginia, 22903","700 CHARLTON AVE, CHARLOTTESVILLE, VA"
308,"700 Locust Ave, Charlottesville, Virginia, 22902","700 LOCUST AVE, CHARLOTTESVILLE, VA"
309,"900 Charlton Ave, Charlottesville, Virginia, 22903","900 CHARLTON AVE, CHARLOTTESVILLE, VA"
310,"1000 Cherry Ave, Charlottesville, Virginia, 22903","1000 CHERRY AVE, CHARLOTTESVILLE, VA"
311,"1400 Westwood Rd, Charlottesville, Virginia, 22903","1400 WESTWOOD RD, CHARLOTTESVILLE, VA"
312,"600 Montrose Ave, Charlottesville, Virginia, 22902","600 MONTROSE AVE, CHARLOTTESVILLE, VA"
314,"1000 Grove St, Charlottesville, Virginia, 22903","1000 GROVE ST, CHARLOTTESVILLE, VA"
315,"1100 Locust Ave, Charlottesville, Virginia, 22901","1100 LOCUST AVE, CHARLOTTESVILLE, VA"
316,"600 Monticello Ave, Charlottesville, Virginia, 22902","600 MONTICELLO AVE, CHARLOTTESVILLE, VA"
318,"600 Blenheim Ave, Charlottesville, Virginia, 22902","600 BLENHEIM AVE, CHARLOTTESVILLE, VA"
319,"100 Junction Ln, Charlottesville, Virginia, 22902","100 JUNCTION LN, CHARLOTTESVILLE, VA"
320,"400 Fairway Ave, Charlottesville, Virginia, 22902","400 FAIRWAY AVE, CHARLOTTESVILLE, VA"
322,"100 Rosser Ave E, Charlottesville, Virginia, 22903","100 ROSSER AVE E, CHARLOTTESVILLE, VA"
323,"800 Saint James Cir, Charlottesville, Virginia, 22902","800 SAINT JAMES CIR, CHARLOTTESVILLE, VA"
324,"400 Spring St, Charlottesville, Virginia, 22903","400 SPRING ST, CHARLOTTESVILLE, VA"
325,"800 Rockcreek Rd, Charlottesville, Virginia, 22903","800 ROCKCREEK RD, CHARLOTTESVILLE, VA"
326,"200 W Water St, Charlottesville, Virginia, 22902","200 W WATER ST, CHARLOTTESVILLE, VA"
329,"800 Cabell Ave, Charlottesville, Virginia, 22903","800 CABELL AVE, CHARLOTTESVILLE, VA"
330,Hillsdale Village,"HILLSDALE VILLAGE, CHARLOTTESVILLE, VA"
331,"2300 Glenn Ct, Charlottesville, Virginia, 22901","2300 GLENN CT, CHARLOTTESVILLE, VA"
333,"Stewart Cir, Charlottesville, Virginia, 22903","STEWART CIR, CHARLOTTESVILLE, VA"
335,"Emmet St N & 250 Byp, Charlottesville, Virginia, 22901","EMMET ST N & 250 BYP, CHARLOTTESVILLE, VA"
336,"100 4th St NW, Charlottesville, Virginia, 22903","100 4TH ST NW, CHARLOTTESVILLE, VA"
337,"100 Hartmans Mill Rd, Charlottesville, Virginia, 22902","100 HARTMANS MILL RD, CHARLOTTESVILLE, VA"
338,"1100 E High St, Charlottesville, Virginia, 22902","1100 E HIGH ST, CHARLOTTESVILLE, VA"
339,"1900 Arlington Blvd, Charlottesville, Virginia, 22903","1900 ARLINGTON BLVD, CHARLOTTESVILLE, VA"
340,"500 Caroline Ave, Charlottesville, Virginia, 22902","500 CAROLINE AVE, CHARLOTTESVILLE, VA"
341,"400 10 1/2 St NW, Charlottesville, Virginia, 22903","400 10 1/2 ST NW, CHARLOTTESVILLE, VA"
342,"Cabell Ave, Charlottesville, Virginia, 22903","CABELL AVE, CHARLOTTESVILLE, VA"
343,"400 Hillsdale Dr, Charlottesville, Virginia, 22901","400 HILLSDALE DR, CHARLOTTESVILLE, VA"
345,"600 North Ave, Charlottesville, Virginia, 22901","600 NORTH AVE, CHARLOTTESVILLE, VA"
347,"900 Elliott Ave, Charlottesville, Virginia, 22902","900 ELLIOTT AVE, CHARLOTTESVILLE, VA"
348,"800 Ridge St, Charlottesville, Virginia, 22902","800 RIDGE ST, CHARLOTTESVILLE, VA"
350,"1300 Belleview Ave, Charlottesville, Virginia, 22901","1300 BELLEVIEW AVE, CHARLOTTESVILLE, VA"
352,"1000 1st St S, Charlottesville, Virginia, 22902","1000 1ST ST S, CHARLOTTESVILLE, VA"
353,"1700 Broadway St, Charlottesville, Virginia, 22902","1700 BROADWAY ST, CHARLOTTESVILLE, VA"
356,"400 E High St, Charlottesville, Virginia, 22902","400 E HIGH ST, CHARLOTTESVILLE, VA"
357,"1500 E High St, Charlottesville, Virginia, 22902","1500 E HIGH ST, CHARLOTTESVILLE, VA"
358,"100 Meade Ave, Charlottesville, Virginia, 22902","100 MEADE AVE, CHARLOTTESVILLE, VA"
360,"200 W Market St, Charlottesville, Virginia, 22902","200 W MARKET ST, CHARLOTTESVILLE, VA"
361,"1400 Pen Park Rd, Charlottesville, Virginia, 22901","1400 PEN PARK RD, CHARLOTTESVILLE, VA"
363,"300 Montebello Cir, Charlottesville, Virginia, 22903","300 MONTEBELLO CIR, CHARLOTTESVILLE, VA"
364,"1400 Burgess Ln, Charlottesville, Virginia, 22902","1400 BURGESS LN, CHARLOTTESVILLE, VA"
365,"300 11th St NW, Charlottesville, Virginia, 22903","300 11TH ST NW, CHARLOTTESVILLE, VA"
366,"300 Valley Rd, Charlottesville, Virginia, 22903","300 VALLEY RD, CHARLOTTESVILLE, VA"
367,"500 Preston Ave, Charlottesville, Virginia, 22903","500 PRESTON AVE, CHARLOTTESVILLE, VA"
368,"700 Belmont Ave, Charlottesville, Virginia, 22902","700 BELMONT AVE, CHARLOTTESVILLE, VA"
369,"1600 Meridian St, Charlottesville, Virginia, 22902","1600 MERIDIAN ST, CHARLOTTESVILLE, VA"
370,"1500 Rosa Ter, Charlottesville, Virginia, 22902","1500 ROSA TER, CHARLOTTESVILLE, VA"
371,"600 6th St SE, Charlottesville, Virginia, 22902","600 6TH ST SE, CHARLOTTESVILLE, VA"
374,"100 2nd St NE, Charlottesville, Virginia, 22902","100 2ND ST NE, CHARLOTTESVILLE, VA"
376,"Emmet St N & Barracks Rd, Charlottesville, Virginia, 22903","EMMET ST N & BARRACKS RD, CHARLOTTESVILLE, VA"
377,"400 Emmet St N, Charlottesville, Virginia, 22903","400 EMMET ST N, CHARLOTTESVILLE, VA"
378,"1400 Vine St, Charlottesville, Virginia, 22902","1400 VINE ST, CHARLOTTESVILLE, VA"
380,"1500 Rose Hill Dr, Charlottesville, Virginia, 22903","1500 ROSE HILL DR, CHARLOTTESVILLE, VA"
384,"2300 Dellmead Ln, Charlottesville, Virginia, 22901","2300 DELLMEAD LN, CHARLOTTESVILLE, VA"
385,"1500 Antoinette Ave, Charlottesville, Virginia, 22903","1500 ANTOINETTE AVE, CHARLOTTESVILLE, VA"
386,"100 Alderman Rd, Charlottesville, Virginia, 22903","100 ALDERMAN RD, CHARLOTTESVILLE, VA"
388,"1900 Thomson Rd, Charlottesville, Virginia, 22903","1900 THOMSON RD, CHARLOTTESVILLE, VA"
389,"600 Madison Ave, Charlottesville, Virginia, 22903","600 MADISON AVE, CHARLOTTESVILLE, VA"
391,"300 Quarry Rd, Charlottesville, Virginia, 22902","300 QUARRY RD, CHARLOTTESVILLE, VA"
392,"300 7 1/2 St SW, Charlottesville, Virginia, 22903","300 7 1/2 ST SW, CHARLOTTESVILLE, VA"
393,"600 Dale Ave, Charlottesville, Virginia, 22903","600 DALE AVE, CHARLOTTESVILLE, VA"
394,"300 E Water St, Charlottesville, Virginia, 22902","300 E WATER ST, CHARLOTTESVILLE, VA"
395,"500 E Jefferson St, Charlottesville, Virginia, 22902","500 E JEFFERSON ST, CHARLOTTESVILLE, VA"
396,"1300 Hampton St, Charlottesville, Virginia, 22902","1300 HAMPTON ST, CHARLOTTESVILLE, VA"
398,"100 Waterbury Ct, Charlottesville, Virginia, 22902","100 WATERBURY CT, CHARLOTTESVILLE, VA"
399,"1100 Leonard St, Charlottesville, Virginia, 22902","1100 LEONARD ST, CHARLOTTESVILLE, VA"
402,"200 15th St NW, Charlottesville, Virginia, 22903","200 15TH ST NW, CHARLOTTESVILLE, VA"
403,"Fontaine Ave, Charlottesville, Virginia, 22904","FONTAINE AVE, CHARLOTTESVILLE, VA"
404,"500 17th St NW, Charlottesville, Virginia, 22903","500 17TH ST NW, CHARLOTTESVILLE, VA"
405,"4000 City Walk Way, Charlottesville, Virginia, 22902","4000 CITY WALK WAY, CHARLOTTESVILLE, VA"
407,"1600 Cherry Ave, Charlottesville, Virginia, 22903","1600 CHERRY AVE, CHARLOTTESVILLE, VA"
408,"500 Monticello Ave, Charlottesville, Virginia, 22902","500 MONTICELLO AVE, CHARLOTTESVILLE, VA"
409,"2400 Jefferson Park Ave, Charlottesville, Virginia, 22903","2400 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
411,"1400 Avon St, Charlottesville, Virginia, 22902","1400 AVON ST, CHARLOTTESVILLE, VA"
413,"800 Cherry Ave, Charlottesville, Virginia, 22903","800 CHERRY AVE, CHARLOTTESVILLE, VA"
414,"1500 Midland St, Charlottesville, Virginia, 22902","1500 MIDLAND ST, CHARLOTTESVILLE, VA"
416,"900 2nd St SE, Charlottesville, Virginia, 22902","900 2ND ST SE, CHARLOTTESVILLE, VA"
417,"400 Altamont St, Charlottesville, Virginia, 22902","400 ALTAMONT ST, CHARLOTTESVILLE, VA"
418,"700 Maple St, Charlottesville, Virginia, 22902","700 MAPLE ST, CHARLOTTESVILLE, VA"
419,"1000 Rayon St, Charlottesville, Virginia, 22902","1000 RAYON ST, CHARLOTTESVILLE, VA"
420,"W Main St, Charlottesville, Virginia, 22903","W MAIN ST, CHARLOTTESVILLE, VA"
422,"500 Rugby Rd, Charlottesville, Virginia, 22903","500 RUGBY RD, CHARLOTTESVILLE, VA"
423,"300 14th St NW, Charlottesville, Virginia, 22903","300 14TH ST NW, CHARLOTTESVILLE, VA"
424,"1400 Forest Ridge Rd, Charlottesville, Virginia, 22903","1400 FOREST RIDGE RD, CHARLOTTESVILLE, VA"
425,"700 Nassau St, Charlottesville, Virginia, 22902","700 NASSAU ST, CHARLOTTESVILLE, VA"
426,"300 4th St NE, Charlottesville, Virginia, 22902","300 4TH ST NE, CHARLOTTESVILLE, VA"
427,"600 McIntire Rd, Charlottesville, Virginia, 22902","600 MCINTIRE RD, CHARLOTTESVILLE, VA"
428,"2nd St SE, Charlottesville, Virginia, 22902","2ND ST SE, CHARLOTTESVILLE, VA"
430,"400 17th St NW, Charlottesville, Virginia, 22903","400 17TH ST NW, CHARLOTTESVILLE, VA"
431,"700 Madison Ave, Charlottesville, Virginia, 22903","700 MADISON AVE, CHARLOTTESVILLE, VA"
432,"900 5th St SW, Charlottesville, Virginia, 22903","900 5TH ST SW, CHARLOTTESVILLE, VA"
433,"1000 6th St SE, Charlottesville, Virginia, 22902","1000 6TH ST SE, CHARLOTTESVILLE, VA"
434,"1100 Millmont St, Charlottesville, Virginia, 22903","1100 MILLMONT ST, CHARLOTTESVILLE, VA"
436,"1600 Center Ave, Charlottesville, Virginia, 22903","1600 CENTER AVE, CHARLOTTESVILLE, VA"
437,"700 Park St, Charlottesville, Virginia, 22902","700 PARK ST, CHARLOTTESVILLE, VA"
438,"Cherry Ave & Ridge St, Charlottesville, Virginia, 22903","CHERRY AVE & RIDGE ST, CHARLOTTESVILLE, VA"
439,"900 Henry Avenue, Charlottesville, Virginia, 22903","900 HENRY AVENUE, CHARLOTTESVILLE, VA"
440,"900 Harris St, Charlottesville, Virginia, 22903","900 HARRIS ST, CHARLOTTESVILLE, VA"
442,"900 Forest St, Charlottesville, Virginia, 22903","900 FOREST ST, CHARLOTTESVILLE, VA"
443,"1400 Melbourne Rd, Charlottesville, Virginia, 22901","1400 MELBOURNE RD, CHARLOTTESVILLE, VA"
444,"800 West St, Charlottesville, Virginia, 22903","800 WEST ST, CHARLOTTESVILLE, VA"
445,"Cleveland Ave, Charlottesville, Virginia, 22903","CLEVELAND AVE, CHARLOTTESVILLE, VA"
446,"100 University Way, Charlottesville, Virginia, 22903","100 UNIVERSITY WAY, CHARLOTTESVILLE, VA"
449,"400 5th St SW, Charlottesville, Virginia, 22903","400 5TH ST SW, CHARLOTTESVILLE, VA"
450,"100 Hammond St, Charlottesville, Virginia, 22903","100 HAMMOND ST, CHARLOTTESVILLE, VA"
451,"900 Rugby Rd, Charlottesville, Virginia, 22903","900 RUGBY RD, CHARLOTTESVILLE, VA"
459,"E Jefferson St, Charlottesville, Virginia, 22902","E JEFFERSON ST, CHARLOTTESVILLE, VA"
460,"1000 Montrose Avenue, Charlottesville, Virginia, 22902","1000 MONTROSE AVENUE, CHARLOTTESVILLE, VA"
463,"Locust Ln, Charlottesville, Virginia, 22901","LOCUST LN, CHARLOTTESVILLE, VA"
464,"1200 Cherry Avenue, Charlottesville, Virginia, 22903","1200 CHERRY AVENUE, CHARLOTTESVILLE, VA"
465,"300 3rd St NE, Charlottesville, Virginia, 22902","300 3RD ST NE, CHARLOTTESVILLE, VA"
466,"W Water St, Charlottesville, Virginia, 22902","W WATER ST, CHARLOTTESVILLE, VA"
467,"400 Monroe Ln, Charlottesville, Virginia, 22903","400 MONROE LN, CHARLOTTESVILLE, VA"
469,"700 Bolling Ave, Charlottesville, Virginia, 22902","700 BOLLING AVE, CHARLOTTESVILLE, VA"
470,"Broadway St, Charlottesville, Virginia, 22902","BROADWAY ST, CHARLOTTESVILLE, VA"
472,"Rugby Rd, Charlottesville, Virginia, 22903","RUGBY RD, CHARLOTTESVILLE, VA"
477,"Roosevelt Brown Blvd, Charlottesville, Virginia, 22903","ROOSEVELT BROWN BLVD, CHARLOTTESVILLE, VA"
478,"Elliewood Ave, Charlottesville, Virginia, 22903","ELLIEWOOD AVE, CHARLOTTESVILLE, VA"
480,"Druid Ave, Charlottesville, Virginia, 22902","DRUID AVE, CHARLOTTESVILLE, VA"
482,"University Ave, Charlottesville, Virginia, 22903","UNIVERSITY AVE, CHARLOTTESVILLE, VA"
483,"400 14th St NW, Charlottesville, Virginia, 22903","400 14TH ST NW, CHARLOTTESVILLE, VA"
484,"1800 Lambeth Ln, Charlottesville, Virginia, 22903","1800 LAMBETH LN, CHARLOTTESVILLE, VA"
485,"200 6th St NW, Charlottesville, Virginia, 22903","200 6TH ST NW, CHARLOTTESVILLE, VA"
486,"1600 University Ave, Charlottesville, Virginia, 22903","1600 UNIVERSITY AVE, CHARLOTTESVILLE, VA"
493,"1400 Hampton St, Charlottesville, Virginia, 22902","1400 HAMPTON ST, CHARLOTTESVILLE, VA"
497,"1100 Preston Ave, Charlottesville, Virginia, 22903","1100 PRESTON AVE, CHARLOTTESVILLE, VA"
498,"100 Goodman St, Charlottesville, Virginia, 22902","100 GOODMAN ST, CHARLOTTESVILLE, VA"
502,"Barracks Rd & Emmet St N, Charlottesville, Virginia, 22903","BARRACKS RD & EMMET ST N, CHARLOTTESVILLE, VA"
503,"200 Shamrock Rd, Charlottesville, Virginia, 22903","200 SHAMROCK RD, CHARLOTTESVILLE, VA"
506,"400 W Main St, Charlottesville, Virginia, 22903","400 W MAIN ST, CHARLOTTESVILLE, VA"
507,"200 Robertson Ave, Charlottesville, Virginia, 22903","200 ROBERTSON AVE, CHARLOTTESVILLE, VA"
512,"McIntire Rd & Perry Dr, Charlottesville, Virginia, 22902","MCINTIRE RD & PERRY DR, CHARLOTTESVILLE, VA"
513,"1200 Little High St, Charlottesville, Virginia, 22902","1200 LITTLE HIGH ST, CHARLOTTESVILLE, VA"
516,"900 Blenheim Ave, Charlottesville, Virginia, 22902","900 BLENHEIM AVE, CHARLOTTESVILLE, VA"
517,"E Main St, Charlottesville, Virginia, 22902","E MAIN ST, CHARLOTTESVILLE, VA"
518,"400 11th St NE, Charlottesville, Virginia, 22902","400 11TH ST NE, CHARLOTTESVILLE, VA"
520,"100 University Cir, Charlottesville, Virginia, 22903","100 UNIVERSITY CIR, CHARLOTTESVILLE, VA"
521,"100 Stribling Ave, Charlottesville, Virginia, 22903","100 STRIBLING AVE, CHARLOTTESVILLE, VA"
523,"100 Chancellor St, Charlottesville, Virginia, 22903","100 CHANCELLOR ST, CHARLOTTESVILLE, VA"
524,"1700 Emmet St N, Charlottesville, Virginia, 22901","1700 EMMET ST N, CHARLOTTESVILLE, VA"
525,"200 9th St NW, Charlottesville, Virginia, 22903","200 9TH ST NW, CHARLOTTESVILLE, VA"
526,"500 9th St SW, Charlottesville, Virginia, 22903","500 9TH ST SW, CHARLOTTESVILLE, VA"
527,"500 E Water St, Charlottesville, Virginia, 22902","500 E WATER ST, CHARLOTTESVILLE, VA"
528,"Jefferson Park Ave, Charlottesville, Virginia, 22903","JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
529,"200 Florence Rd, Charlottesville, Virginia, 22902","200 FLORENCE RD, CHARLOTTESVILLE, VA"
530,"1700 Allied Ln, Charlottesville, Virginia, 22903","1700 ALLIED LN, CHARLOTTESVILLE, VA"
533,"1st St N, Charlottesville, Virginia, 22902","1ST ST N, CHARLOTTESVILLE, VA"
536,"600 Belmont Ave, Charlottesville, Virginia, 22902","600 BELMONT AVE, CHARLOTTESVILLE, VA"
538,"100 Kent Ter, Charlottesville, Virginia, 22903","100 KENT TER, CHARLOTTESVILLE, VA"
539,"1 Elliott Ave, Charlottesville, Virginia, 22902","1 ELLIOTT AVE, CHARLOTTESVILLE, VA"
540,"2200 Fontaine Ave, Charlottesville, Virginia, 22903","2200 FONTAINE AVE, CHARLOTTESVILLE, VA"
541,"100 10 1/2 St NW, Charlottesville, Virginia, 22903","100 10 1/2 ST NW, CHARLOTTESVILLE, VA"
542,"1500 University Ave, Charlottesville, Virginia, 22903","1500 UNIVERSITY AVE, CHARLOTTESVILLE, VA"
544,"900 E High St, Charlottesville, Virginia, 22902","900 E HIGH ST, CHARLOTTESVILLE, VA"
545,"600 Bailey Rd, Charlottesville, Virginia, 22903","600 BAILEY RD, CHARLOTTESVILLE, VA"
547,"100 Burnet St, Charlottesville, Virginia, 22902","100 BURNET ST, CHARLOTTESVILLE, VA"
548,"2100 Wise St, Charlottesville, Virginia, 22903","2100 WISE ST, CHARLOTTESVILLE, VA"
549,"100 Greenwich Ct, Charlottesville, Virginia, 22902","100 GREENWICH CT, CHARLOTTESVILLE, VA"
550,"800 Rives St, Charlottesville, Virginia, 22902","800 RIVES ST, CHARLOTTESVILLE, VA"
551,"600 Bolling Ave, Charlottesville, Virginia, 22902","600 BOLLING AVE, CHARLOTTESVILLE, VA"
552,"100 9th St SW, Charlottesville, Virginia, 22903","100 9TH ST SW, CHARLOTTESVILLE, VA"
553,"700 Rainier Rd, Charlottesville, Virginia, 22903","700 RAINIER RD, CHARLOTTESVILLE, VA"
555,"1000 City Walk Way, Charlottesville, Virginia, 22902","1000 CITY WALK WAY, CHARLOTTESVILLE, VA"
556,"1000 Cottonwood Rd, Charlottesville, Virginia, 22901","1000 COTTONWOOD RD, CHARLOTTESVILLE, VA"
557,"1300 Wertland St, Charlottesville, Virginia, 22903","1300 WERTLAND ST, CHARLOTTESVILLE, VA"
558,"1100 River Rd, Charlottesville, Virginia, 22901","1100 RIVER RD, CHARLOTTESVILLE, VA"
559,"1400 Gordon Ave, Charlottesville, Virginia, 22903","1400 GORDON AVE, CHARLOTTESVILLE, VA"
561,"700 Grove Ave, Charlottesville, Virginia, 22902","700 GROVE AVE, CHARLOTTESVILLE, VA"
562,"1200 Meriwether St, Charlottesville, Virginia, 22902","1200 MERIWETHER ST, CHARLOTTESVILLE, VA"
564,"200 Huntley Ave, Charlottesville, Virginia, 22903","200 HUNTLEY AVE, CHARLOTTESVILLE, VA"
565,"1600 Grady Ave, Charlottesville, Virginia, 22903","1600 GRADY AVE, CHARLOTTESVILLE, VA"
566,"1200 W Main St, Charlottesville, Virginia, 22903","1200 W MAIN ST, CHARLOTTESVILLE, VA"
569,"100 Camellia Dr, Charlottesville, Virginia, 22903","100 CAMELLIA DR, CHARLOTTESVILLE, VA"
570,"Ridge St & W Main St, Charlottesville, Virginia, 22902","RIDGE ST & W MAIN ST, CHARLOTTESVILLE, VA"
571,"2300 Crestmont Ave, Charlottesville, Virginia, 22903","2300 CRESTMONT AVE, CHARLOTTESVILLE, VA"
572,"800 Saint Charles Ave, Charlottesville, Virginia, 22902","800 SAINT CHARLES AVE, CHARLOTTESVILLE, VA"
573,"Hydraulic Rd & 250 Byp, Charlottesville, Virginia, 22901","HYDRAULIC RD & 250 BYP, CHARLOTTESVILLE, VA"
575,"500 Meade Ave, Charlottesville, Virginia, 22902","500 MEADE AVE, CHARLOTTESVILLE, VA"
576,"1500 Virginia Ave, Charlottesville, Virginia, 22903","1500 VIRGINIA AVE, CHARLOTTESVILLE, VA"
580,"Maple St, Charlottesville, Virginia, 22902","MAPLE ST, CHARLOTTESVILLE, VA"
582,"1000 E Water St, Charlottesville, Virginia, 22902","1000 E WATER ST, CHARLOTTESVILLE, VA"
583,"2200 Jefferson Park Ave, Charlottesville, Virginia, 22903","2200 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
584,"1000 Saint Charles Ave, Charlottesville, Virginia, 22901","1000 SAINT CHARLES AVE, CHARLOTTESVILLE, VA"
586,"1700 Concord Dr, Charlottesville, Virginia, 22901","1700 CONCORD DR, CHARLOTTESVILLE, VA"
587,"1500 Chesapeake St, Charlottesville, Virginia, 22902","1500 CHESAPEAKE ST, CHARLOTTESVILLE, VA"
588,"900 Anderson St, Charlottesville, Virginia, 22903","900 ANDERSON ST, CHARLOTTESVILLE, VA"
589,"1200 Coleman Ct, Charlottesville, Virginia, 22901","1200 COLEMAN CT, CHARLOTTESVILLE, VA"
590,"200 7th St NE, Charlottesville, Virginia, 22902","200 7TH ST NE, CHARLOTTESVILLE, VA"
591,"400 McIntire Rd, Charlottesville, Virginia, 22902","400 MCINTIRE RD, CHARLOTTESVILLE, VA"
592,"200 14th St NW, Charlottesville, Virginia, 22903","200 14TH ST NW, CHARLOTTESVILLE, VA"
594,"300 Robertson Ave, Charlottesville, Virginia, 22903","300 ROBERTSON AVE, CHARLOTTESVILLE, VA"
595,"100 Melbourne Park Cir, Charlottesville, Virginia, 22901","100 MELBOURNE PARK CIR, CHARLOTTESVILLE, VA"
596,"900 Monticello Ave, Charlottesville, Virginia, 22902","900 MONTICELLO AVE, CHARLOTTESVILLE, VA"
597,"200 Burnet St, Charlottesville, Virginia, 22902","200 BURNET ST, CHARLOTTESVILLE, VA"
598,"500 2nd St SE, Charlottesville, Virginia, 22902","500 2ND ST SE, CHARLOTTESVILLE, VA"
599,"200 Spruce St, Charlottesville, Virginia, 22902","200 SPRUCE ST, CHARLOTTESVILLE, VA"
600,"2400 Sunset Rd, Charlottesville, Virginia, 22903","2400 SUNSET RD, CHARLOTTESVILLE, VA"
601,"1200 Landonia Cir, Charlottesville, Virginia, 22901","1200 LANDONIA CIR, CHARLOTTESVILLE, VA"
602,"2400 Arlington Blvd, Charlottesville, Virginia, 22903","2400 ARLINGTON BLVD, CHARLOTTESVILLE, VA"
604,"E High St, Charlottesville, Virginia, 22901","E HIGH ST, CHARLOTTESVILLE, VA"
605,"2500 Woodland Dr, Charlottesville, Virginia, 22903","2500 WOODLAND DR, CHARLOTTESVILLE, VA"
607,"200 5th St NW, Charlottesville, Virginia, 22903","200 5TH ST NW, CHARLOTTESVILLE, VA"
608,"700 Levy Ave, Charlottesville, Virginia, 22902","700 LEVY AVE, CHARLOTTESVILLE, VA"
617,"1100 Little High St, Charlottesville, Virginia, 22902","1100 LITTLE HIGH ST, CHARLOTTESVILLE, VA"
618,"1000 Elliott Ave, Charlottesville, Virginia, 22902","1000 ELLIOTT AVE, CHARLOTTESVILLE, VA"
620,"100 Longwood Dr, Charlottesville, Virginia, 22902","100 LONGWOOD DR, CHARLOTTESVILLE, VA"
621,"1500 Carlton Ave, Charlottesville, Virginia, 22902","1500 CARLTON AVE, CHARLOTTESVILLE, VA"
624,"100 Old Fifth Cir, Charlottesville, Virginia, 22903","100 OLD FIFTH CIR, CHARLOTTESVILLE, VA"
625,"Avon Street Ext, Charlottesville, Virginia, 22902","AVON STREET EXT, CHARLOTTESVILLE, VA"
626,"400 12th St NW, Charlottesville, Virginia, 22903","400 12TH ST NW, CHARLOTTESVILLE, VA"
627,"Barracks Rd & Cedars Ct, Charlottesville, Virginia, 22903","BARRACKS RD & CEDARS CT, CHARLOTTESVILLE, VA"
631,"700 Harris St, Charlottesville, Virginia, 22903","700 HARRIS ST, CHARLOTTESVILLE, VA"
632,"1300 Kenwood Ln, Charlottesville, Virginia, 22901","1300 KENWOOD LN, CHARLOTTESVILLE, VA"
633,"300 Cleveland Ave, Charlottesville, Virginia, 22903","300 CLEVELAND AVE, CHARLOTTESVILLE, VA"
634,"800 Emmet St N, Charlottesville, Virginia, 22903","800 EMMET ST N, CHARLOTTESVILLE, VA"
635,"1400 Cherry Ave, Charlottesville, Virginia, 22903","1400 CHERRY AVE, CHARLOTTESVILLE, VA"
637,"200 Massie Rd, Charlottesville, Virginia, 22903","200 MASSIE RD, CHARLOTTESVILLE, VA"
638,"100 2nd St NW, Charlottesville, Virginia, 22902","100 2ND ST NW, CHARLOTTESVILLE, VA"
639,"800 E Jefferson St, Charlottesville, Virginia, 22902","800 E JEFFERSON ST, CHARLOTTESVILLE, VA"
640,"600 Beechwood Dr, Charlottesville, Virginia, 22901","600 BEECHWOOD DR, CHARLOTTESVILLE, VA"
641,"300 10 1/2 St NW, Charlottesville, Virginia, 22903","300 10 1/2 ST NW, CHARLOTTESVILLE, VA"
643,"1600 Green Street, Charlottesville, Virginia, 22902","1600 GREEN STREET, CHARLOTTESVILLE, VA"
644,"10th St SW, Charlottesville, Virginia, 22903","10TH ST SW, CHARLOTTESVILLE, VA"
645,"100 Tripper Ct, Charlottesville, Virginia, 22903","100 TRIPPER CT, CHARLOTTESVILLE, VA"
647,"800 Estes St, Charlottesville, Virginia, 22903","800 ESTES ST, CHARLOTTESVILLE, VA"
650,"1100 Richmond Rd, Charlottesville, Virginia, 22901","1100 RICHMOND RD, CHARLOTTESVILLE, VA"
651,"100 Keystone Pl, Charlottesville, Virginia, 22902","100 KEYSTONE PL, CHARLOTTESVILLE, VA"
652,"200 Zan Rd, Charlottesville, Virginia, 22901","200 ZAN RD, CHARLOTTESVILLE, VA"
