,address,match_address
61,"1300 Riverdale Dr, Charlottesville, Virginia, 22902","1300 RIVERDALE DR, CHARLOTTESVILLE, VA"
62,"1900 Emmet St N, Charlottesville, Virginia, 22901","1900 EMMET ST N, CHARLOTTESVILLE, VA"
64,"1100 5th St SW, Charlottesville, Virginia, 22902","1100 5TH ST SW, CHARLOTTESVILLE, VA"
65,"500 Harris Rd, Charlottesville, Virginia, 22903","500 HARRIS RD, CHARLOTTESVILLE, VA"
66,"700 Stonehenge Ave, Charlottesville, Virginia, 22902","700 STONEHENGE AVE, CHARLOTTESVILLE, VA"
67,"2500 Willard Dr, Charlottesville, Virginia, 22903","2500 WILLARD DR, CHARLOTTESVILLE, VA"
68,"1100 Emmet St N, Charlottesville, Virginia, 22903","1100 EMMET ST N, CHARLOTTESVILLE, VA"
69,"1200 Holmes Ave, Charlottesville, Virginia, 22901","1200 HOLMES AVE, CHARLOTTESVILLE, VA"
70,"700 E Main St, Charlottesville, Virginia, 22902","700 E MAIN ST, CHARLOTTESVILLE, VA"
71,"1600 Hardwood Ave, Charlottesville, Virginia, 22903","1600 HARDWOOD AVE, CHARLOTTESVILLE, VA"
72,"2000 Minor Rd, Charlottesville, Virginia, 22903","2000 MINOR RD, CHARLOTTESVILLE, VA"
73,"100 7th St NE, Charlottesville, Virginia, 22902","100 7TH ST NE, CHARLOTTESVILLE, VA"
74,"1200 Cedars Ct, Charlottesville, Virginia, 22903","1200 CEDARS CT, CHARLOTTESVILLE, VA"
75,"700 Ridge St, Charlottesville, Virginia, 22902","700 RIDGE ST, CHARLOTTESVILLE, VA"
76,"2100 Ivy Rd, Charlottesville, Virginia, 22903","2100 IVY RD, CHARLOTTESVILLE, VA"
77,"1800 Emmet St N, Charlottesville, Virginia, 22901","1800 EMMET ST N, CHARLOTTESVILLE, VA"
78,"2000 India Rd, Charlottesville, Virginia, 22901","2000 INDIA RD, CHARLOTTESVILLE, VA"
79,"100 E Jefferson St, Charlottesville, Virginia, 22902","100 E JEFFERSON ST, CHARLOTTESVILLE, VA"
81,"1000 Forest Hills Ave, Charlottesville, Virginia, 22903","1000 FOREST HILLS AVE, CHARLOTTESVILLE, VA"
82,"600 E High St, Charlottesville, Virginia, 22902","600 E HIGH ST, CHARLOTTESVILLE, VA"
83,"800 E Market St, Charlottesville, Virginia, 22902","800 E MARKET ST, CHARLOTTESVILLE, VA"
85,"2000 Morton Dr, Charlottesville, Virginia, 22903","2000 MORTON DR, CHARLOTTESVILLE, VA"
86,"100 Middlesex Dr, Charlottesville, Virginia, 22901","100 MIDDLESEX DR, CHARLOTTESVILLE, VA"
87,"100 E Main St, Charlottesville, Virginia, 22902","100 E MAIN ST, CHARLOTTESVILLE, VA"
88,"700 Prospect Avenue, Charlottesville, Virginia, 22903","700 PROSPECT AVENUE, CHARLOTTESVILLE, VA"
89,"Seminole Trl & Hydraulic Rd, Charlottesville, Virginia, 22901","SEMINOLE TRL & HYDRAULIC RD, CHARLOTTESVILLE, VA"
90,"5th St SW, Charlottesville, Virginia, 22903","5TH ST SW, CHARLOTTESVILLE, VA"
92,"500 Park St, Charlottesville, Virginia, 22902","500 PARK ST, CHARLOTTESVILLE, VA"
93,"800 Orangedale Ave, Charlottesville, Virginia, 22903","800 ORANGEDALE AVE, CHARLOTTESVILLE, VA"
94,"800 Druid Ave, Charlottesville, Virginia, 22902","800 DRUID AVE, CHARLOTTESVILLE, VA"
95,"100 Brandywine Ct, Charlottesville, Virginia, 22901","100 BRANDYWINE CT, CHARLOTTESVILLE, VA"
96,"800 Hardy Dr, Charlottesville, Virginia, 22903","800 HARDY DR, CHARLOTTESVILLE, VA"
98,"1600 Emmet St N, Charlottesville, Virginia, 22901","1600 EMMET ST N, CHARLOTTESVILLE, VA"
99,"1800 Jefferson Park Ave, Charlottesville, Virginia, 22903","1800 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
100,"500 Cleveland Ave, Charlottesville, Virginia, 22903","500 CLEVELAND AVE, CHARLOTTESVILLE, VA"
101,"500 14th St NW, Charlottesville, Virginia, 22903","500 14TH ST NW, CHARLOTTESVILLE, VA"
102,"700 Walker Sq, Charlottesville, Virginia, 22903","700 WALKER SQ, CHARLOTTESVILLE, VA"
103,"200 Hartmans Mill Rd, Charlottesville, Virginia, 22902","200 HARTMANS MILL RD, CHARLOTTESVILLE, VA"
104,"100 Robertson Ave, Charlottesville, Virginia, 22903","100 ROBERTSON AVE, CHARLOTTESVILLE, VA"
105,"300 E Main St, Charlottesville, Virginia, 22902","300 E MAIN ST, CHARLOTTESVILLE, VA"
106,"1000 Altavista Avenue, Charlottesville, Virginia, 22902","1000 ALTAVISTA AVENUE, CHARLOTTESVILLE, VA"
107,"400 Riverside Ave, Charlottesville, Virginia, 22902","400 RIVERSIDE AVE, CHARLOTTESVILLE, VA"
108,"500 E Market St, Charlottesville, Virginia, 22902","500 E MARKET ST, CHARLOTTESVILLE, VA"
109,"200 E Market St, Charlottesville, Virginia, 22902","200 E MARKET ST, CHARLOTTESVILLE, VA"
110,"200 9th St NE, Charlottesville, Virginia, 22902","200 9TH ST NE, CHARLOTTESVILLE, VA"
111,"300 Meade Ave, Charlottesville, Virginia, 22902","300 MEADE AVE, CHARLOTTESVILLE, VA"
112,"1700 Jefferson Park Ave, Charlottesville, Virginia, 22903","1700 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
113,"800 Preston Ave, Charlottesville, Virginia, 22903","800 PRESTON AVE, CHARLOTTESVILLE, VA"
114,"2100 Barracks Rd, Charlottesville, Virginia, 22903","2100 BARRACKS RD, CHARLOTTESVILLE, VA"
115,"E Water St, Charlottesville, Virginia, 22902","E WATER ST, CHARLOTTESVILLE, VA"
117,"1900 Chesapeake St, Charlottesville, Virginia, 22902","1900 CHESAPEAKE ST, CHARLOTTESVILLE, VA"
118,"100 Brookwood Dr, Charlottesville, Virginia, 22902","100 BROOKWOOD DR, CHARLOTTESVILLE, VA"
119,"500 Rockland Ave, Charlottesville, Virginia, 22902","500 ROCKLAND AVE, CHARLOTTESVILLE, VA"
120,"1900 Blue Ridge Rd, Charlottesville, Virginia, 22903","1900 BLUE RIDGE RD, CHARLOTTESVILLE, VA"
121,"1000 W Main St, Charlottesville, Virginia, 22903","1000 W MAIN ST, CHARLOTTESVILLE, VA"
122,"400 Garrett St, Charlottesville, Virginia, 22902","400 GARRETT ST, CHARLOTTESVILLE, VA"
123,"100 Denice Ln, Charlottesville, Virginia, 22901","100 DENICE LN, CHARLOTTESVILLE, VA"
124,"100 Franklin St, Charlottesville, Virginia, 22902","100 FRANKLIN ST, CHARLOTTESVILLE, VA"
125,"600 Rugby Rd, Charlottesville, Virginia, 22903","600 RUGBY RD, CHARLOTTESVILLE, VA"
126,"Oakmont St, Charlottesville, Virginia, 22902","OAKMONT ST, CHARLOTTESVILLE, VA"
128,"1000 Ridge St, Charlottesville, Virginia, 22902","1000 RIDGE ST, CHARLOTTESVILLE, VA"
129,"1900 Jefferson Park Ave, Charlottesville, Virginia, 22903","1900 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
130,"400 Valley Road Ext, Charlottesville, Virginia, 22903","400 VALLEY ROAD EXT, CHARLOTTESVILLE, VA"
132,"2300 Angus Rd, Charlottesville, Virginia, 22901","2300 ANGUS RD, CHARLOTTESVILLE, VA"
133,"100 N Baker St, Charlottesville, Virginia, 22903","100 N BAKER ST, CHARLOTTESVILLE, VA"
134,"200 Ridge McIntire Rd, Charlottesville, Virginia, 22903","200 RIDGE MCINTIRE RD, CHARLOTTESVILLE, VA"
135,"300 Camellia Dr, Charlottesville, Virginia, 22903","300 CAMELLIA DR, CHARLOTTESVILLE, VA"
136,"2000 Jefferson Park Ave, Charlottesville, Virginia, 22903","2000 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
